Run,Assay Type,AvgSpotLen,Bases,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain,Genotype,BioProject,Developmental_stage,sex,Development_stage,sex_type,Library Name,tissue,Cell_Line,stage,chip_antibody,transgene,chip_antibody_supplier,genotype/variation,strain/background,antibody_manufacturer,input_experiment/sample
SRR947275,ChIP-Seq,32,100369792,SAMN02230938,57133635,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331052,GSM1183576,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1183576,MML-1_GFP_L3_ChIP_Rep2,SRP028417,OP198(official name : OP198 genotype : unc-119(ed3); wgIs198(mml-1::TY1 EGFP FLAG C; unc-119) outcross : 3 mutagen : Bombard tags : GFP::3xFlag description : This strain's transgene was constructed by Mihail Sarov at the Max Planck Institute for Cell B...,unc-119(ed3); wgIs198(mml-1::TY1 EGFP FLAG C; unc-119),PRJNA63455,L3,hermaphrodite,,,,,,,,,,,,,
SRR947276,ChIP-Seq,32,125694464,SAMN02230931,69851368,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331053,GSM1183577,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1183577,NHR-76_GFP_L3_Input_Rep1,SRP028418,OP203(official name : OP203 genotype : unc-119(ed3); wgIs203(nhr-76::TY1 EGFP FLAG; unc-119) outcross : 3 mutagen : Bombard tags : GFP::3xFlag description : This strain's transgene was constructed by Mihail Sarov at the Max Planck Institute for Cell Bi...,unc-119(ed3); wgIs203(nhr-76::TY1 EGFP FLAG; unc-119),PRJNA63455,L3,hermaphrodite,,,,,,,,,,,,,
SRR947277,ChIP-Seq,32,166982848,SAMN02230946,100078268,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331054,GSM1183578,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1183578,NHR-76_GFP_L3_ChIP_Rep1,SRP028418,OP203(official name : OP203 genotype : unc-119(ed3); wgIs203(nhr-76::TY1 EGFP FLAG; unc-119) outcross : 3 mutagen : Bombard tags : GFP::3xFlag description : This strain's transgene was constructed by Mihail Sarov at the Max Planck Institute for Cell Bi...,unc-119(ed3); wgIs203(nhr-76::TY1 EGFP FLAG; unc-119),PRJNA63455,L3,hermaphrodite,,,,,,,,,,,,,
SRR947278,ChIP-Seq,32,124085312,SAMN02230934,67665952,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331055,GSM1183579,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1183579,NHR-76_GFP_L3_Input_Rep2,SRP028418,OP203(official name : OP203 genotype : unc-119(ed3); wgIs203(nhr-76::TY1 EGFP FLAG; unc-119) outcross : 3 mutagen : Bombard tags : GFP::3xFlag description : This strain's transgene was constructed by Mihail Sarov at the Max Planck Institute for Cell Bi...,unc-119(ed3); wgIs203(nhr-76::TY1 EGFP FLAG; unc-119),PRJNA63455,L3,hermaphrodite,,,,,,,,,,,,,
SRR947279,ChIP-Seq,32,155461408,SAMN02230928,96604758,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331056,GSM1183580,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1183580,NHR-76_GFP_L3_ChIP_Rep2,SRP028418,OP203(official name : OP203 genotype : unc-119(ed3); wgIs203(nhr-76::TY1 EGFP FLAG; unc-119) outcross : 3 mutagen : Bombard tags : GFP::3xFlag description : This strain's transgene was constructed by Mihail Sarov at the Max Planck Institute for Cell Bi...,unc-119(ed3); wgIs203(nhr-76::TY1 EGFP FLAG; unc-119),PRJNA63455,L3,hermaphrodite,,,,,,,,,,,,,
SRR947280,ChIP-Seq,32,145431072,SAMN02230928,66926392,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331056,GSM1183580,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1183580,NHR-76_GFP_L3_ChIP_Rep2,SRP028418,OP203(official name : OP203 genotype : unc-119(ed3); wgIs203(nhr-76::TY1 EGFP FLAG; unc-119) outcross : 3 mutagen : Bombard tags : GFP::3xFlag description : This strain's transgene was constructed by Mihail Sarov at the Max Planck Institute for Cell Bi...,unc-119(ed3); wgIs203(nhr-76::TY1 EGFP FLAG; unc-119),PRJNA63455,L3,hermaphrodite,,,,,,,,,,,,,
SRR947281,ChIP-Seq,32,169527904,SAMN02230944,105218661,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331057,GSM1183581,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1183581,PHA-4_GFP_L4_Input_Rep1,SRP028419,OP37(official name : OP37 genotype : unc-119(ed3) III; wgIs37 [unc-119(+) pha-4::TY1::EGFP::3xFLAG] outcross : 3 mutagen : Bombard tags : GFP::3xFlag description : This strain's transgene was constructed by Mihail Sarov at the Max Planck Institute for ...,unc-119(ed3) III; wgIs37 [unc-119(+) pha-4::TY1::EGFP::3xFLAG],PRJNA63455,L4,hermaphrodite,,,,,,,,,,,,,
SRR947282,ChIP-Seq,32,55541664,SAMN02230932,27249080,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331058,GSM1183582,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1183582,PHA-4_GFP_L4_ChIP_Rep1,SRP028419,OP37(official name : OP37 genotype : unc-119(ed3) III; wgIs37 [unc-119(+) pha-4::TY1::EGFP::3xFLAG] outcross : 3 mutagen : Bombard tags : GFP::3xFlag description : This strain's transgene was constructed by Mihail Sarov at the Max Planck Institute for ...,unc-119(ed3) III; wgIs37 [unc-119(+) pha-4::TY1::EGFP::3xFLAG],PRJNA63455,L4,hermaphrodite,,,,,,,,,,,,,
SRR947283,ChIP-Seq,32,174143808,SAMN02230929,106607855,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331059,GSM1183583,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1183583,PHA-4_GFP_L4_Input_Rep2,SRP028419,OP37(official name : OP37 genotype : unc-119(ed3) III; wgIs37 [unc-119(+) pha-4::TY1::EGFP::3xFLAG] outcross : 3 mutagen : Bombard tags : GFP::3xFlag description : This strain's transgene was constructed by Mihail Sarov at the Max Planck Institute for ...,unc-119(ed3) III; wgIs37 [unc-119(+) pha-4::TY1::EGFP::3xFLAG],PRJNA63455,L4,hermaphrodite,,,,,,,,,,,,,
SRR947284,ChIP-Seq,32,57020288,SAMN02230937,29752673,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331060,GSM1183584,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1183584,PHA-4_GFP_L4_ChIP_Rep2,SRP028419,OP37(official name : OP37 genotype : unc-119(ed3) III; wgIs37 [unc-119(+) pha-4::TY1::EGFP::3xFLAG] outcross : 3 mutagen : Bombard tags : GFP::3xFlag description : This strain's transgene was constructed by Mihail Sarov at the Max Planck Institute for ...,unc-119(ed3) III; wgIs37 [unc-119(+) pha-4::TY1::EGFP::3xFLAG],PRJNA63455,L4,hermaphrodite,,,,,,,,,,,,,
SRR947285,ChIP-Seq,32,380195488,SAMN02230925,235007741,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331061,GSM1183585,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1183585,GEI-11_GFP_YA_Input_Rep1,SRP028420,OP179(official name : OP179 genotype : unc-119(ed3) III; wgIs179 [unc-119(+) gei-11::TY1::EGFP::3xFLAG] outcross : 3 mutagen : Bombard tags : GFP::3xFlag description : This strain's transgene was constructed by Mihail Sarov at the Max Planck Institute ...,unc-119(ed3) III; wgIs179 [unc-119(+) gei-11::TY1::EGFP::3xFLAG],PRJNA63455,Young Adult,hermaphrodite,,,,,,,,,,,,,
SRR947286,ChIP-Seq,32,96980256,SAMN02230927,33566315,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331062,GSM1183586,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1183586,GEI-11_GFP_YA_ChIP_Rep1,SRP028420,OP179(official name : OP179 genotype : unc-119(ed3) III; wgIs179 [unc-119(+) gei-11::TY1::EGFP::3xFLAG] outcross : 3 mutagen : Bombard tags : GFP::3xFlag description : This strain's transgene was constructed by Mihail Sarov at the Max Planck Institute ...,unc-119(ed3) III; wgIs179 [unc-119(+) gei-11::TY1::EGFP::3xFLAG],PRJNA63455,Young Adult,hermaphrodite,,,,,,,,,,,,,
SRR947287,ChIP-Seq,32,307144096,SAMN02230935,183101381,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331063,GSM1183587,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1183587,GEI-11_GFP_YA_Input_Rep2,SRP028420,OP179(official name : OP179 genotype : unc-119(ed3) III; wgIs179 [unc-119(+) gei-11::TY1::EGFP::3xFLAG] outcross : 3 mutagen : Bombard tags : GFP::3xFlag description : This strain's transgene was constructed by Mihail Sarov at the Max Planck Institute ...,unc-119(ed3) III; wgIs179 [unc-119(+) gei-11::TY1::EGFP::3xFLAG],PRJNA63455,Young Adult,hermaphrodite,,,,,,,,,,,,,
SRR947288,ChIP-Seq,32,120758880,SAMN02230924,64206586,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331064,GSM1183588,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1183588,GEI-11_GFP_YA_ChIP_Rep2,SRP028420,OP179(official name : OP179 genotype : unc-119(ed3) III; wgIs179 [unc-119(+) gei-11::TY1::EGFP::3xFLAG] outcross : 3 mutagen : Bombard tags : GFP::3xFlag description : This strain's transgene was constructed by Mihail Sarov at the Max Planck Institute ...,unc-119(ed3) III; wgIs179 [unc-119(+) gei-11::TY1::EGFP::3xFLAG],PRJNA63455,Young Adult,hermaphrodite,,,,,,,,,,,,,
SRR947289,ChIP-Seq,32,64840192,SAMN02230926,29808048,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331065,GSM1183589,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1183589,R02D3.7_GFP_L4_Input_Rep1,SRP028421,OP218(official name : OP218 genotype : unc-119(ed3); wgIs218(R02D3.7:TY1 EGFP FLAG; unc-119) outcross : 3 mutagen : Bombard tags : GFP::3xFlag description : This strain's transgene was constructed by Mihail Sarov at the Max Planck Institute for Cell Bi...,unc-119(ed3); wgIs218(R02D3.7:TY1 EGFP FLAG; unc-119),PRJNA63455,L4,hermaphrodite,,,,,,,,,,,,,
SRR947290,ChIP-Seq,32,189380992,SAMN02230936,89855394,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331066,GSM1183590,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1183590,R02D3.7_GFP_L4_ChIP_Rep1,SRP028421,OP218(official name : OP218 genotype : unc-119(ed3); wgIs218(R02D3.7:TY1 EGFP FLAG; unc-119) outcross : 3 mutagen : Bombard tags : GFP::3xFlag description : This strain's transgene was constructed by Mihail Sarov at the Max Planck Institute for Cell Bi...,unc-119(ed3); wgIs218(R02D3.7:TY1 EGFP FLAG; unc-119),PRJNA63455,L4,hermaphrodite,,,,,,,,,,,,,
SRR947291,ChIP-Seq,32,50840576,SAMN02230922,23792840,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331067,GSM1183591,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1183591,R02D3.7_GFP_L4_Input_Rep2,SRP028421,OP218(official name : OP218 genotype : unc-119(ed3); wgIs218(R02D3.7:TY1 EGFP FLAG; unc-119) outcross : 3 mutagen : Bombard tags : GFP::3xFlag description : This strain's transgene was constructed by Mihail Sarov at the Max Planck Institute for Cell Bi...,unc-119(ed3); wgIs218(R02D3.7:TY1 EGFP FLAG; unc-119),PRJNA63455,L4,hermaphrodite,,,,,,,,,,,,,
SRR947292,ChIP-Seq,32,133860288,SAMN02230921,66919086,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331068,GSM1183592,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1183592,R02D3.7_GFP_L4_ChIP_Rep2,SRP028421,OP218(official name : OP218 genotype : unc-119(ed3); wgIs218(R02D3.7:TY1 EGFP FLAG; unc-119) outcross : 3 mutagen : Bombard tags : GFP::3xFlag description : This strain's transgene was constructed by Mihail Sarov at the Max Planck Institute for Cell Bi...,unc-119(ed3); wgIs218(R02D3.7:TY1 EGFP FLAG; unc-119),PRJNA63455,L4,hermaphrodite,,,,,,,,,,,,,
SRR947293,ChIP-Seq,32,205592000,SAMN02230933,116459645,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331069,GSM1183593,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1183593,HAM-1_GFP_L1_Input_Rep1,SRP028422,OP102(official name : OP102 genotype : unc-119 (ed3); wgIs102 (ham-1::TY1 EGFP FLAG; unc-119(+)) outcross : 0 mutagen : None tags : GFP::3xFlag description : This strain's transgene was constructed by Mihail Sarov at the Max Planck Institute for Cell B...,unc-119 (ed3); wgIs102 (ham-1::TY1 EGFP FLAG; unc-119(+)),PRJNA63455,fed L1,hermaphrodite,,,,,,,,,,,,,
SRR947294,ChIP-Seq,32,230381760,SAMN02230920,131328840,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331070,GSM1183594,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1183594,HAM-1_GFP_L1_ChIP_Rep1,SRP028422,OP102(official name : OP102 genotype : unc-119 (ed3); wgIs102 (ham-1::TY1 EGFP FLAG; unc-119(+)) outcross : 0 mutagen : None tags : GFP::3xFlag description : This strain's transgene was constructed by Mihail Sarov at the Max Planck Institute for Cell B...,unc-119 (ed3); wgIs102 (ham-1::TY1 EGFP FLAG; unc-119(+)),PRJNA63455,fed L1,hermaphrodite,,,,,,,,,,,,,
SRR947295,ChIP-Seq,32,177593792,SAMN02230829,98657353,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331071,GSM1183595,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1183595,HAM-1_GFP_L1_Input_Rep2,SRP028422,OP102(official name : OP102 genotype : unc-119 (ed3); wgIs102 (ham-1::TY1 EGFP FLAG; unc-119(+)) outcross : 0 mutagen : None tags : GFP::3xFlag description : This strain's transgene was constructed by Mihail Sarov at the Max Planck Institute for Cell B...,unc-119 (ed3); wgIs102 (ham-1::TY1 EGFP FLAG; unc-119(+)),PRJNA63455,fed L1,hermaphrodite,,,,,,,,,,,,,
SRR947296,ChIP-Seq,32,78445280,SAMN02230830,49538134,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331072,GSM1183596,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1183596,HAM-1_GFP_L1_ChIP_Rep2,SRP028422,OP102(official name : OP102 genotype : unc-119 (ed3); wgIs102 (ham-1::TY1 EGFP FLAG; unc-119(+)) outcross : 0 mutagen : None tags : GFP::3xFlag description : This strain's transgene was constructed by Mihail Sarov at the Max Planck Institute for Cell B...,unc-119 (ed3); wgIs102 (ham-1::TY1 EGFP FLAG; unc-119(+)),PRJNA63455,fed L1,hermaphrodite,,,,,,,,,,,,,
